term
allogeneic
allogenic
allo-APZ2-CVU
allo-APZ2-EB
ALLO-ASC
ALLO-ASC-DFU
allo-hMSCs
AlloRx
AlloStem
Alofisel
AstroStem-V
CardioCell
Cartistem
Chondrochymal
Corlicyte
COVI-MSC
Cx601
CYP-001
CYP-006TK
darvadstrocel
Dental Implant with PRFM and PBMSCs
Descartes-25
Descartes 25
Descartes-30
Descartes 30
DB-001
ExoFlo
Human Placenta Mesenchymal Stem Cells Derived Exosomes
IMS001
it-hMSC
Lomecel-B
Longeveron
Longeveron Mesenchymal Stem Cells
MR-MC-01
NestaCell
Ossium vBM-MSC
placental
PN-101
PrimeMSK
PrimePro
Prochymal
Provacel
remestemcel-L
Stemirac
Stempeucel
SMUP-IA-01
TERCELOI
UC-MSCs
umbilical cord
umbilical mesenchymal stem cells
UCMSCs
UMC119-01
UMC119-06
UMC119-06-05
UMC119-10
wharton s jelly
whartons jelly
Wharton Jelly Mesenchymal stem cells
WJ-MSC
WJ-MSCs
XSTEM-OA
